SalesMonth,ProductName,TotalSales,TotalUnits
2023-01,Omron BPM,17682192.3666,1921
2023-01,Omron BPM Wrist,385353.3544,47
2023-01,Omron ETB,312341.7652,206
2023-01,Omron Weigh Scale,99794.9206,15
2023-01,Onita,12568976.6425,10653
2023-01,Opt-D,19536861.859599,80090
2023-01,Orslim,39321706.52,18086
2023-01,Oxivort,1303171.55,3433
2023-01,PAIN GEAR,2724.36,1
2023-01,Paridopa,6969746.08800003,4629
2023-01,Phytus,4143595.52499995,10887
2023-01,Ramipace,36059345.4366992,61930
2023-01,Redexa,4502680.265,7216
2023-01,REKLAIM,310307.360500001,621
2023-01,Retzole,3114769.75,2162
2023-01,Revolic,1310240.40449999,2422
2023-01,Sacvin,26816554.7594034,18803
2023-01,SheVit,4928171.87489991,9939
2023-01,Sparliv,2484008.70370004,3142
2023-01,SPEDICAM,17021.0952,134
2023-01,Supercran,782198.983099999,2173
2023-01,Tansin,5105529.38549983,24891
2023-01,Telsarta,8033737.72429999,30168
2023-01,Telsarta-A,21018172.2979998,51023
2023-01,Telsarta-D,6933535.986,14405
2023-01,Thewril,3645963.65,6412
2023-01,Tiocap,468479.71,3678
2023-01,Treatan,11047236.0621993,29882
2023-01,Treatan-D,1623560.8245,1935
2023-01,UFI,205900.6,514
2023-01,UriTreat,1444252,1706
2023-01,Vible,2290542.86490001,3183
2023-01,Voxamine,6986888.23500043,15476
2023-01,X-Plended,136263103.984436,328309
2023-01,X-Plended EZ,7075154.8728999,18920
2023-01,Xcept,35983675.794798,66067
2023-01,Xilica,10698165.5965013,25946
2023-01,Zibes,3061725.99279996,22423
2023-01,Zilero,1332254.64,1671
2023-01,Zilfom,1150567.225,2592
2023-01,Zoltar,9787592.87219998,40289
2023-02,Actiflor,3723839.8792,5865
2023-02,Actnise,2385592.18020005,7111
2023-02,Ad Folic,10295495.0002018,26549
2023-02,Ad Folic OD,16156569.3987981,30887
2023-02,Ad-D Chewable,456648.747599999,1864
2023-02,Agoviz,2469231.04499998,3496
2023-02,Aircare,493717.776000001,1159
2023-02,Aireez,6299828.99200002,11659
2023-02,Anex-M,861310.779999994,2599
2023-02,Anplag,12495860.7825,9274
2023-02,Arbi,4759903.5381,13975
2023-02,Arbi-D,10241297.7555,22674
2023-02,Avsar,103681437.104029,226700
2023-02,Avsar Plus,34982506.0804025,79995
2023-02,AXIFER,522569.375,613
2023-02,Azliv,1253994.2825,6526
2023-02,BD PEN NEEDLE,2935805.3142,131044
2023-02,BD SYRINGE - BAG,61932771.5284004,1794735
2023-02,Busonide,2358663.17249999,5634
2023-02,Byvas,17402175.4221993,60634
2023-02,Dapwiz,4377953.47,15678
2023-02,Dipof,1936353.51230001,8434
2023-02,Diu Tansin,1851248.79739993,9032
2023-02,Duzalta,14064305.7774992,24148
2023-02,Eglaro,293255.913999999,742
2023-02,Eglaro-S,2681470.5625,4139
2023-02,Erli,9491860.09999986,22592
2023-02,Erli Plus,21146.3,98
2023-02,Erli Plus XR,13159544.7634996,25432
2023-02,Estar,37962888.2953998,100286
2023-02,Evo Joshanda,1519951.5178,3241
2023-02,EvoCheck,24764181.2849995,9263
2023-02,EvoCheck Go,10693763.2249999,4608
2023-02,Evofix,5659645.38500001,18533
2023-02,Evokalm,6632933.09500011,23875
2023-02,Evokalm XR,1824632.865,3185
2023-02,Evopravir,1912.5,1
2023-02,Evopride,12610947.9765485,22167
2023-02,Evopride Plus,23458385.780704,55856
2023-02,Fasteso,2475305.84880004,7803
2023-02,Femova,9854886.40929952,9163
2023-02,Ferfer,11428981.0126999,15162
2023-02,Ferfer Gro,2737557.64889995,6523
2023-02,Galvecta,978153.1177,2885
2023-02,Galvecta Plus,10158043.4132,20104
2023-02,Gouric,60468965.35,100668
2023-02,Histalis,1181969.726,6919
2023-02,IBANDRO,54493.585,123
2023-02,Inosita,15652131.0269989,14462
2023-02,Inosita Plus,121865181.721234,136184
2023-02,Ivadin,2666039.11,7500
2023-02,K-1000,10522315.5867003,16846
2023-02,Kalsob,14895403.7469994,23883
2023-02,Klevra,6215969.19209999,6308
2023-02,Klevra XR,355614.5,628
2023-02,LACTEUS AR,15436.4925,12
2023-02,LACTEUS GROW 3,252631.0691,315
2023-02,LIMITROL,1147.5,9
2023-02,Lowplat,64881554.4669378,283690
2023-02,Lowplat Plus,91353763.4464317,361571
2023-02,MFIT,15866.76,13
2023-02,NEBULIZERS,20528.652,6
2023-02,Neo Q 10,2828718.7314,2555
2023-02,Nise,62084571.4280214,239106
2023-02,Omron BPM,18138825.6181,2033
2023-02,Omron BPM Wrist,584141.946,73
2023-02,Omron ETB,295660.4624,193
2023-02,Omron Weigh Scale,34552.5362,6
2023-02,Onita,11553103.73,9783
2023-02,Opt-D,22162847.4560981,91216
2023-02,Orslim,39212628.5275001,18034
2023-02,Oxivort,1312529.2,3421
2023-02,Paridopa,7006115.67900006,4637
2023-02,Phytus,2810357.39999997,7430
2023-02,Ramipace,35672626.7881017,61642
2023-02,Redexa,4871269.4855,7710
2023-02,REKLAIM,321846.224800001,645
2023-02,Retzole,3396761.5,2360
2023-02,Revolic,1091521.677,2012
2023-02,Sacvin,26048450.1823023,18295
2023-02,SheVit,5029958.22809988,10148
2023-02,Sparliv,2828006.76920004,3580
2023-02,SPEDICAM,11291.058,89
2023-02,Supercran,1236851.9822,3439
2023-02,Tansin,4831546.46849992,23534
2023-02,Telsarta,7854310.4081,29528
2023-02,Telsarta-A,21073179.7749997,50926
2023-02,Telsarta-D,7121335.122,14722
2023-02,Thewril,3795268.265,6672
2023-02,Tiocap,706714.95,5619
2023-02,Treatan,11077143.9374992,29951
2023-02,Treatan-D,1568688.053,1875
2023-02,UFI,175350.325,447
2023-02,UriTreat,1427054.8,1698
2023-02,Vible,2808037.98720001,3903
2023-02,Voxamine,6487917.32000034,14414
2023-02,X-Plended,132576604.116138,320523
2023-02,X-Plended EZ,7762309.96409988,20745
2023-02,Xcept,37024974.2896973,68444
2023-02,Xilica,11164977.5493013,27089
2023-02,Zibes,2968064.69669988,21603
2023-02,Zilero,1327933.92,1662
2023-02,Zilfom,1304574.6875,2925
2023-02,Zoltar,10463573.7485997,43209
2023-03,Actiflor,6684524.786,10505
2023-03,Actnise,3000468.21600003,8916
2023-03,Ad Folic,11248750.5706022,28999
2023-03,Ad Folic OD,18243261.7525985,34878
2023-03,Ad-D Chewable,453384.583599998,1841
2023-03,Agoviz,2744766.98750001,3880
2023-03,Aircare,986332.725,2446
2023-03,Aireez,6700505.15399999,11748
2023-03,Anex-M,1030231.27999999,3107
2023-03,Anplag,13627599.9415,10037
2023-03,Arbi,4695913.33689999,13826
2023-03,Arbi-D,9698887.48979973,21524
2023-03,Avsar,111495060.883433,244023
2023-03,Avsar Plus,36154882.6420998,82626
2023-03,AXIFER,622624.95,778
2023-03,Azliv,1658493.48819999,9340
2023-03,BD PEN NEEDLE,3020759.2385,134456
2023-03,BD SYRINGE - BAG,66707801.0765003,1931862
2023-03,Busonide,3160352.105,7421
2023-03,Byvas,18749869.9865987,65553
2023-03,Dapwiz,4319148.855,15456
2023-03,Dipof,1858139.45630001,7924
2023-03,Diu Tansin,2019257.68999991,9851
2023-03,Duzalta,14308498.4054989,24547
2023-03,Eglaro,303218.336,751
2023-03,Eglaro-S,2964683.0825,4551
2023-03,Erli,9588740.14250033,22857
2023-03,Erli Plus,19584,90
2023-03,Erli Plus XR,15035145.6695994,29004
2023-03,Erlina,3490827.39099993,5970
2023-03,Estar,39687165.2320021,104724
2023-03,Evo Joshanda,852646.893400005,1839
2023-03,EvoCheck,28924249.113499,10886
2023-03,EvoCheck Go,11739763.8999999,5164
2023-03,Evofix,5541768.45999999,18230
2023-03,Evokalm,6988424.4300001,25432
2023-03,Evokalm XR,2085635.82,3627
2023-03,Evopravir,11475,6
2023-03,Evopride,13931028.8634982,24182
2023-03,Evopride Plus,24752508.8750036,58868
2023-03,Fasteso,2655929.04000003,8430
2023-03,Femova,9666989.3566995,8994
2023-03,Ferfer,12782741.5114,16953
2023-03,Ferfer Gro,3284559.08199992,7828
2023-03,Galvecta,1028631.1599,3034
2023-03,Galvecta Plus,10816199.2914,21412
2023-03,Gouric,62682033.2175,103737
2023-03,HIFAZAT,112.61,1
2023-03,Histalis,1178450.1042,6934
2023-03,IBANDRO,24428.2325,56
2023-03,Inosita,15921756.9224986,14793
2023-03,Inosita Plus,115400676.624132,129415
2023-03,Ivadin,2925938.7675,8227
2023-03,K-1000,11736449.6723002,18799
2023-03,Kalsob,15170507.542599,24314
2023-03,Klevra,6234204.81609991,6601
2023-03,Klevra XR,397364.8,700
2023-03,LACTEUS 2,3579.75,3
2023-03,LACTEUS 3,4773,4
2023-03,LACTEUS AR,1322.75,1
2023-03,LACTEUS GROW 3,163938.4696,199
2023-03,LIMITROL,1020,8
2023-03,Lowplat,69402901.7208369,303099
2023-03,Lowplat Plus,96450718.0383325,381630
2023-03,MFIT,17087.28,14
2023-03,NEBULIZERS,6723.074,1
2023-03,Neo Q 10,2818819.76129999,2534
2023-03,Nise,66673653.6220241,256805
2023-03,Omron BPM,18472499.5056,2141
2023-03,Omron BPM Wrist,728902.1182,91
2023-03,Omron ETB,464603.641,306
2023-03,Omron Weigh Scale,29215.7732,5
2023-03,Onita,12948352.2255,10959
2023-03,Opt-D,23940501.977998,98355
2023-03,Orslim,43543700.8900001,20002
2023-03,Oxivort,1483694.035,3921
2023-03,Paridopa,7133780.79000003,4710
2023-03,Phytus,2474593.0846,6495
2023-03,Ramipace,38558411.5777935,65914
2023-03,Redexa,5431596.7785,8416
2023-03,REKLAIM,501259.957500004,1008
2023-03,Retzole,2058547,1427
2023-03,Revolic,1244086.52739999,2301
2023-03,Sacvin,29436012.6223034,20542
2023-03,SheVit,5863991.2351999,11832
2023-03,Sparliv,3179301.01770006,4026
2023-03,SPEDICAM,8630.0028,68
2023-03,Supercran,2718440.93730001,7549
2023-03,Tansin,5274006.64899974,25637
2023-03,Telsarta,8193406.86659999,30765
2023-03,Telsarta-A,21136642.5014998,51736
2023-03,Telsarta-D,7712821.188,15912
2023-03,Thewril,4400552.415,7738
2023-03,Tiocap,942236.3475,7396
2023-03,Treatan,11154781.4211991,30448
2023-03,Treatan-D,1596902.548,1902
2023-03,UFI,146464.265,370
2023-03,UriTreat,1395462,1652
2023-03,Vible,3451593.71939999,4799
2023-03,Voxamine,7333250.83500038,16282
2023-03,X-Plended,142379144.850331,345808
2023-03,X-Plended EZ,8331613.11349986,22384
2023-03,Xcept,40383845.0098984,75166
2023-03,Xilica,11712340.3892016,28869
2023-03,Zibes,3410951.33609991,24285
2023-03,Zilero,1241428.485,1560
2023-03,Zilfom,1370500.6875,3074
2023-03,Zoltar,9798247.4723999,39616
2023-04,Actiflor,7762842.1492,12224
2023-04,Actnise,2126804.23000004,6350
2023-04,Ad Folic,9410463.82600156,24267
2023-04,Ad Folic OD,14611583.596398,27950
2023-04,Ad-D Chewable,296213.5332,1262
2023-04,Agoviz,2338419.09499998,3314
2023-04,Aircare,941997.336000001,2357
2023-04,Aireez,5162352.29399999,9095
2023-04,Anex-M,770860.239999994,2323
2023-04,Anplag,12615858.002,9278
2023-04,Arbi,3923841.8504,11592
2023-04,Arbi-D,7994219.41789978,17877
2023-04,Avsar,100018508.042224,218917
2023-04,Avsar Plus,31273980.1673995,71553
2023-04,AXIFER,757137.495,921
2023-04,Azliv,1024502.84310001,5682
2023-04,BD PEN NEEDLE,2631790.576,117405
2023-04,BD SYRINGE - BAG,61475099.7844004,1780588
2023-04,BONEDOL,178.5,2
2023-04,Busonide,2714816.19,6381
2023-04,Byvas,14921680.2841995,52677
2023-04,CLEAR LAX,816,2
2023-04,Dapwiz,3534574.455,12602
2023-04,Dipof,804324.87500001,2701
2023-04,Diu Tansin,1810975.43939992,8832
2023-04,Duzalta,10615391.9474998,18206
2023-04,Eglaro,174653.782,431
2023-04,Eglaro-S,2144459.2575,3303
2023-04,Erli,8070731.93250014,19183
2023-04,Erli Plus,21831.4,100
2023-04,Erli Plus XR,11827307.7242993,22925
2023-04,Erlina,2204632.66499998,3782
2023-04,Estar,29837675.0539981,78505
2023-04,Evo Joshanda,2264784.62599999,5860
2023-04,EvoCheck,22023503.3190993,8593
2023-04,EvoCheck Go,8290241.04999996,3749
2023-04,Evofix,4491305.8846,14809
2023-04,Evokalm,5726620.68000009,20393
2023-04,Evokalm XR,1551306.78,2701
2023-04,Evopride,12060404.2032985,21199
2023-04,Evopride Plus,19301378.4828038,45940
2023-04,Fasteso,2199846.41,6919
2023-04,Femova,7989492.83299963,7431
2023-04,Ferfer,9792297.51610024,12999
2023-04,Ferfer Gro,2958932.92879995,7052
2023-04,FREEDEP,1785,7
2023-04,Galvecta,862919.5428,2545
2023-04,Galvecta Plus,9373651.7632,18573
2023-04,Gouric,55751110.9880001,93104
2023-04,Histalis,960038.226,5579
2023-04,IBANDRO,15444.7025,35
2023-04,Inosita,13581646.2894993,12575
2023-04,Inosita Plus,100876569.763024,112101
2023-04,Ivadin,2577467.0725,7250
2023-04,K-1000,8036047.58290039,12876
2023-04,Kalsob,10989014.0047999,17632
2023-04,Klevra,5092928.61189995,5288
2023-04,Klevra XR,383445.2,676
2023-04,LACTEUS 1,11932.5,10
2023-04,LACTEUS 2,3579.75,3
2023-04,LACTEUS GROW 3,132541.437,171
2023-04,LACTEUS MAMA,20673.75,15
2023-04,LIMITROL,637.5,5
2023-04,Lowplat,65405629.9505404,285476
2023-04,Lowplat Plus,89355519.8255293,353545
2023-04,MFIT,3661.56,3
2023-04,MYOPRO,2792.86,10
2023-04,NEBULIZERS,6723.074,1
2023-04,Neo Q 10,2368088.1927,2127
2023-04,Nise,55005134.3210174,211829
2023-04,NOZEA,239.74,1
2023-04,NUVAL,631.18,3
2023-04,Omron BPM,805373.9792,53
2023-04,Omron BPM Wrist,245887.91,30
2023-04,Omron ETB,207896.2167,141
2023-04,Onita,9385170.92,7943
2023-04,Opt-D,16182319.0856998,66966
2023-04,Orslim,34780456.06,15997
2023-04,Oxivort,1101615.215,2911
2023-04,Paridopa,6398191.63800004,4215
2023-04,Phytus,1573676.4,4182
2023-04,Ramipace,29163996.7298021,50012
2023-04,Redexa,4263635.5445,6652
2023-04,REKLAIM,327616.559200001,656
2023-04,Retzole,1709171.5,1188
2023-04,Revolic,930845.818400006,1716
2023-04,Sacvin,25025416.4630028,17544
2023-04,SETSPIN,6470.26,14
2023-04,SheVit,4841014.58589984,9766
2023-04,Sparliv,2269786.16240004,2874
2023-04,SPECTRIX,170,2
2023-04,SPEDICAM,6735.24,53
2023-04,Supercran,2029476.06800001,5638
2023-04,Tansin,4874065.67679997,23857
2023-04,Telsarta,7067545.0286,26470
2023-04,Telsarta-A,16190418.4159998,40046
2023-04,Telsarta-D,6395728.848,13106
2023-04,Thewril,2707757.02,4761
2023-04,Tiocap,955742.21,7515
2023-04,Treatan,10060148.7423995,27485
2023-04,Treatan-D,1305004.487,1557
2023-04,UFI,112339.825,276
2023-04,UriTreat,975426,1152
2023-04,Vible,1712367.04410001,2381
2023-04,Voxamine,6133903.46500033,13525
2023-04,X-Plended,119915718.254135,289718
2023-04,X-Plended EZ,7683359.92139988,20181
2023-04,Xcept,34813108.2699983,65040
2023-04,Xilica,9208945.59590075,22512
2023-04,Zibes,2880273.86329994,20211
2023-04,Zilero,1023649.305,1284
2023-04,Zilfom,952261.375,2136
2023-04,Zoltar,10240598.9225,43018
2023-05,Actiflor,7361296.8941,11591
2023-05,Actnise,2868669.56500004,8553
2023-05,Ad Folic,11328305.0684025,29202
2023-05,Ad Folic OD,19344257.0021991,37014
2023-05,Ad-D Chewable,439966.195799999,1787
2023-05,Agoviz,2622983.805,3706
2023-05,Aircare,447364.170000001,1033
2023-05,Aireez,6430601.71300001,11259
2023-05,Anex-M,908210.379999994,2738
2023-05,Anplag,14737816.1095,10942
2023-05,Arbi,3958844.2671,11628
2023-05,Arbi-D,8763999.60119979,19309
2023-05,Avsar,109213181.999326,238888
2023-05,Avsar Plus,35659372.6251,81524
2023-05,AXIFER,991631.25,1269
2023-05,Azliv,1006126.38940001,5453
2023-05,BD PEN NEEDLE,3057253.7192,136158
2023-05,BD SYRINGE - BAG,67614345.3341003,1956754
2023-05,Busonide,4288234.74250004,10057
2023-05,Byvas,17603395.651999,61224
2023-05,CELIA,656.75,1
2023-05,CLEAR LAX,408,1
2023-05,Dapwiz,3702961.41,13287
2023-05,Dipof,1911172.77610001,8081
2023-05,Diu Tansin,1851234.93459993,9031
2023-05,Duzalta,13831364.3719992,23723
2023-05,Eglaro,262240.686,653
2023-05,Eglaro-S,2512455.7125,3882
2023-05,Erli,9527246.22750006,22823
2023-05,Erli Plus,22270.85,98
2023-05,Erli Plus XR,14077025.2217993,26985
2023-05,Erlina,4207218.22499997,7168
2023-05,Estar,39870083.8870006,104676
2023-05,Evo Joshanda,561745.1576,1200
2023-05,EvoCheck,27310795.741799,10401
2023-05,EvoCheck Go,12221884.1249999,5427
2023-05,Evofix,5891616.76649999,19973
2023-05,Evokalm,7516719.15000017,28081
2023-05,Evokalm XR,2434984.63,4266
2023-05,Evopravir,3825,2
2023-05,Evopride,13778939.2989981,23862
2023-05,Evopride Plus,21929526.1260036,52225
2023-05,Fasteso,2672881.43500003,8273
2023-05,Femova,8104036.56499966,7542
2023-05,Ferfer,13679420.6158998,18163
2023-05,Ferfer Gro,4365789.57389989,10403
2023-05,Galvecta,948316.8883,2796
2023-05,Galvecta Plus,10312236.9072,20428
2023-05,Gouric,69311212.5525,115077
2023-05,Histalis,1168736.9217,6853
2023-05,IBANDRO,10889.846,25
2023-05,Inosita,15433663.7034991,14412
2023-05,Inosita Plus,116058606.778527,128186
2023-05,Ivadin,2965994.8475,8341
2023-05,K-1000,11233697.1675003,17995
2023-05,Kalsob,14578270.7810994,23369
2023-05,Klevra,6477640.55949995,6994
2023-05,Klevra XR,409669.4,721
2023-05,LACTEUS 2,1193.25,1
2023-05,LACTEUS GROW 3,529177.737,503
2023-05,LACTEUS LF,1332,1
2023-05,LACTEUS MAMA,2756.5,2
2023-05,LIMITROL,382.5,3
2023-05,Lowplat,73921357.0560274,323317
2023-05,Lowplat Plus,101322028.727733,401270
2023-05,MFIT,8543.64,7
2023-05,NEBULIZERS,4953.844,1
2023-05,Neo Q 10,3229893.15579998,2901
2023-05,Nise,64098098.5830214,246862
2023-05,Omron BPM,1432816.3974,122
2023-05,Omron BPM Wrist,333274.225,41
2023-05,Omron ETB,23013.956,15
2023-05,Onita,12009770.681,10154
2023-05,Opt-D,23015728.8474981,95438
2023-05,Orslim,43936153.0300001,20185
2023-05,Oxivort,1562187.965,4072
2023-05,Paridopa,7540724.93500005,5019
2023-05,Phytus,1857943.8,4923
2023-05,Ramipace,36524786.3035997,63246
2023-05,Redexa,5707543.724,8801
2023-05,REKLAIM,476777.435200003,955
2023-05,Retzole,3786094.65,2635
2023-05,Revolic,1357383.28149998,2499
2023-05,Sacvin,28837037.2616033,20337
2023-05,SETSPIN,223.92,1
2023-05,SheVit,5819672.56969992,11744
2023-05,Sparliv,3043641.27340007,3852
2023-05,SPEDICAM,2414.52,19
2023-05,Supercran,2856821.77160001,7933
2023-05,Tansin,4801113.05419998,23485
2023-05,Telsarta,8047096.662,30091
2023-05,Telsarta-A,23307652.0805001,54992
2023-05,Telsarta-D,7418425.252,15202
2023-05,Thewril,4108557.62,7223
2023-05,Tiocap,1478539.3425,11650
2023-05,Treatan,11130610.9844994,30277
2023-05,Treatan-D,1649197.061,1969
2023-05,UFI,128577.8,335
2023-05,UriTreat,1222578.8,1446
2023-05,Vible,4251299.66459998,5912
2023-05,Voxamine,6932219.11500039,15289
2023-05,X-Plended,132887848.344439,321060
2023-05,X-Plended EZ,9235350.39349991,24388
2023-05,Xcept,41417725.1749972,78929
2023-05,Xilica,11445442.0965014,28054
2023-05,Zibes,2707545.07419997,18804
2023-05,Zilero,1311865.085,1633
2023-05,Zilfom,1097431.8125,2460
2023-05,Zoltar,13448255.9400995,57186
2023-06,Actiflor,6032829.3948,9532
2023-06,Actnise,2388300.62000004,7139
2023-06,Ad Folic,10507970.358302,27099
2023-06,Ad Folic OD,16514956.9982977,31605
2023-06,Ad-D Chewable,394007.2112,1470
2023-06,Agoviz,2754923.35500001,3898
2023-06,Aircare,896903.481000001,2254
2023-06,Aireez,5490375.74299999,9636
2023-06,Anex-M,898951.66999999,2708
2023-06,Anplag,14632497.597,10731
2023-06,Arbi,3883597.1613,11408
2023-06,Arbi-D,8196282.03919975,18232
2023-06,Avsar,106914271.622326,233805
2023-06,Avsar Plus,33767443.7229997,77254
2023-06,AXIFER,1080456.25,1350
2023-06,Azliv,440853.608900002,2420
2023-06,BD PEN NEEDLE,2701118.9894,120268
2023-06,BD SYRINGE - BAG,64589081.1648004,1869270
2023-06,Busonide,2027538.14999999,4848
2023-06,Byvas,17067687.3979991,59794
2023-06,Dapwiz,3806809.91,13578
2023-06,Dipof,1593731.05700001,6846
2023-06,Diu Tansin,1629415.79979994,7956
2023-06,Duzalta,13121597.8669994,22551
2023-06,Eglaro,268971.33,682
2023-06,Eglaro-S,3213515.265,4930
2023-06,Erli,7852196.72000014,18875
2023-06,Erli Plus,1419723.21,3934
2023-06,Erli Plus XR,13491962.4042993,26071
2023-06,Erlina,4628007.58000001,7885
2023-06,Estar,39269342.3380003,103634
2023-06,Evo Joshanda,248478.2744,522
2023-06,EvoCheck,34438146.4450992,13157
2023-06,EvoCheck Go,19317094.8999999,8476
2023-06,Evofix,4783703.327,16363
2023-06,Evokalm,4660714.72999995,16721
2023-06,Evokalm XR,1302797.21,2235
2023-06,Evopride,12194403.3404985,21553
2023-06,Evopride Plus,16721784.6719042,39922
2023-06,Fasteso,2421914.94500002,7431
2023-06,Femova,10927559.0760994,10172
2023-06,Ferfer,13004419.3851998,17261
2023-06,Ferfer Gro,3975118.79029988,9469
2023-06,Galvecta,919634.8508,2722
2023-06,Galvecta Plus,8485591.669,16815
2023-06,Gouric,67173001.9879999,111803
2023-06,Histalis,959510.3953,5567
2023-06,IBANDRO,4462.5,10
2023-06,Inosita,14502851.5774992,13495
2023-06,Inosita Plus,108770701.401124,120993
2023-06,Ivadin,2671331.465,7506
2023-06,K-1000,11075764.4539003,17743
2023-06,Kalsob,14111278.1606993,22642
2023-06,Klevra,6007863.03019996,6230
2023-06,Klevra XR,419852.4,738
2023-06,LACTEUS AR,31746,24
2023-06,LACTEUS GROW 3,22671.75,19
2023-06,LIMITROL,892.5,7
2023-06,Lowplat,69537190.9080342,304181
2023-06,Lowplat Plus,98606730.1207331,390198
2023-06,MFIT,21969.36,18
2023-06,Neo Q 10,3060362.49929997,2754
2023-06,Nise,58604295.9370186,225666
2023-06,Omron BPM,55639.4833,7
2023-06,Omron BPM Wrist,146573.0415,19
2023-06,Omron ETB,26319.4852,17
2023-06,Onita,11254702.8835,9529
2023-06,Opt-D,19769771.1499987,81904
2023-06,Orslim,45571335.77,20948
2023-06,Oxivort,1225794.69,3240
2023-06,Paridopa,6943728.28500005,4577
2023-06,Phytus,1002274.6,2643
2023-06,Ramipace,33911426.4591017,58549
2023-06,Redexa,5129366.276,7924
2023-06,REKLAIM,531517.211100004,1064
2023-06,Retzole,3006784.9,2089
2023-06,Revolic,1417020.38359998,2609
2023-06,Sacvin,27663249.995603,19445
2023-06,SheVit,4502850.22589986,9091
2023-06,Sparliv,2307140.33200005,2918
2023-06,SPEDICAM,2287.44,18
2023-06,Supercran,1764797.376,4901
2023-06,Tansin,4186486.37650025,20490
2023-06,Telsarta,6517682.0498,24430
2023-06,Telsarta-A,16490083.2274995,40735
2023-06,Telsarta-D,5286244.526,11067
2023-06,Thewril,3736960.23,6576
2023-06,Tiocap,1184607.8975,9329
2023-06,Treatan,10846961.3162994,29544
2023-06,Treatan-D,1375200.4465,1641
2023-06,UFI,76167.225,196
2023-06,UriTreat,959106,1131
2023-06,Vible,3986461.93389997,5546
2023-06,Voxamine,6671829.72000034,14743
2023-06,X-Plended,129562350.642236,310048
2023-06,X-Plended EZ,9212850.92229992,24259
2023-06,Xcept,40625690.3988973,75163
2023-06,Xilica,9642451.48650082,23743
2023-06,Zibes,3077365.59259993,22319
2023-06,Zilero,1192224.96,1497
2023-06,Zilfom,980318.6,2199
2023-06,Zoltar,10238511.8143997,46128
2023-07,Actiflor,5676835.8133,8987
2023-07,Actnise,1497458.63600001,4533
2023-07,Ad Folic,10938127.2393022,28206
2023-07,Ad Folic OD,17449105.4173982,33370
2023-07,Ad-D Chewable,482880.0549,1842
2023-07,Agoviz,2769264.04499999,3912
2023-07,Aircare,321345.48,742
2023-07,Aireez,5626192.7958,9787
2023-07,Anex-M,1343644.98,4053
2023-07,Anplag,16199783.332,12011
2023-07,Arbi,4247531.5122,12508
2023-07,Arbi-D,9203925.25699983,20554
2023-07,Avsar,108841310.526826,237577
